Etiquetas de fila;AMAZONAS;ANTIOQUIA;ARAUCA;ATLÁNTICO;BOLÍVAR;BOYACÁ;CALDAS;CAQUETÁ;CASANARE;CAUCA;CESAR;CHOCÓ;CÓRDOBA;CUNDINAMARCA;Guainía;GUAJIRA;GUAVIARE;HUILA;MAGDALENA;META;NARIÑO;NORTE DE SANTANDER;PUTUMAYO;QUINDÍO;RISARALDA;SAN ANDRÉS;SANTANDER;SUCRE;TOLIMA;VALLE;Vaupés;VICHADA;Total general
15-dec-2011;;21;;3;1;1;;;;;;;1;6;;;;;;;;2;;1;1;;3;1;2;15;;;58
15-feb-2011;;22;;6;;;1;;;5;2;;;11;;;;7;1;3;1;;;;;;1;1;1;12;;;74
15-jan-2011;;32;;6;5;;;;1;3;;;;6;;1;;4;1;2;1;;;1;1;;1;1;;20;;;86
15-jul-2011;;11;;4;3;;;;;4;1;;;6;;;;4;;2;;1;;;;;1;;1;10;;;48
15-jun-2011;;14;1;5;;;;1;;1;;1;1;9;;1;;2;;1;5;;;;;;2;;1;7;;;52
15-mar-2011;;22;;4;1;;1;;;;2;;;7;;;;1;;2;3;1;1;;;1;;1;1;11;;;59
15-may-2011;;7;1;3;;;1;;1;3;1;;1;2;;;;1;;3;2;1;;;;;2;1;1;9;;;40
15-nov-2011;;38;;4;;;1;;2;5;;;;8;;;;3;;1;4;;;;2;1;6;1;;15;;;91
15-oct-2011;;17;;2;3;;2;;;3;;;;1;;;;9;1;4;1;4;;;1;;2;;;8;;;58
15-sep-2011;;45;;6;1;;;;;2;;;1;8;;;;2;1;1;4;6;;1;;;2;3;2;10;;;95
16-apr-2011;;10;1;3;2;;;;;1;;;;2;;;;3;3;1;8;2;;;1;;1;1;;12;;;51
16-aug-2011;;7;;1;;;1;1;;1;1;;;2;;;;3;;;7;1;;;;;1;3;1;10;;;40
16-dec-2011;1;20;;2;2;;;;;;2;;1;6;;1;;3;2;1;1;;;;1;;1;1;1;9;;;55
16-feb-2011;1;35;;6;1;;1;1;1;2;4;;;4;;;;1;;6;2;2;;;;;;;2;13;;;82
16-jan-2011;;10;;2;3;;1;;;;2;;;4;;;;1;5;3;1;3;2;;1;;1;1;1;8;;1;50
16-jul-2011;;11;;2;1;2;;;;1;1;;;6;;;;;2;5;2;4;;;;;1;2;1;8;;;49
16-jun-2011;;22;;4;1;;;;1;;1;;1;7;;;;3;;;4;2;;;1;;1;;;5;;;53
16-mar-2011;;24;;6;2;;1;;;;;;;5;;1;;2;1;2;4;1;;;;;3;;1;7;;;60
16-may-2011;;22;;3;;;;1;2;1;;;;8;;;;1;;4;1;1;;;2;;3;1;2;8;;;60
16-nov-2011;;26;;1;1;;;;1;3;2;;;7;;;;2;;;3;1;;;2;;2;1;;9;;;61
16-oct-2011;;17;2;2;1;;;;2;3;1;;;3;;;;6;1;4;1;1;;;;;2;;;3;;;49
16-sep-2011;;15;;4;;;1;2;;2;2;;1;4;;;;2;1;1;1;1;;1;2;;1;1;;19;;;61
17-apr-2011;;4;;3;;;1;;1;2;1;;;2;;;;5;;3;5;;1;1;;;3;;3;5;;;40
17-aug-2011;;25;;4;;;;;;1;1;;;3;;;;4;;1;3;1;;;;1;1;2;;12;;;59
17-dec-2011;;11;;8;;;;;;;;;;2;;;;4;;1;;1;;;;;1;2;1;12;;;43
17-feb-2011;;23;;3;;1;;;;1;;;;5;;1;;;1;2;3;;;;;;;;;15;;;55
17-jan-2011;;16;;1;;;;1;;;3;;;6;;;;2;1;3;4;2;;1;;;1;1;1;14;;;57
17-jul-2011;;7;;1;;1;;;;2;;;;4;;1;;7;;3;;4;;;;;;;;11;;;41
17-jun-2011;;24;;4;;;;;;1;4;;;7;;;;3;3;3;9;1;;;;;2;;;12;;;73
17-mar-2011;;15;1;3;1;;;;2;2;3;;;10;;;;1;2;3;2;1;;;;;1;;;12;;;59
